"METHOD","AUPRC_GSD","AUROC_GSD","TIME_GSD","COR","FBL","FFL","MI"
"SCNS",0.249058406480542,0.56833696082311,0.000135930697093394,2.15094339622642,0.642857142857143,1.54098360655738,0.722222222222222
"GRNVBEM",0.255270806564858,0.564676493866245,0.0107307651035519,1.79245283018868,1.25,0.754098360655738,1.33333333333333
"GRISLI",0.280683837133938,0.55109814008706,0.01806684733514,2.61467889908257,0.785714285714286,0.983606557377049,0.666666666666667
"SINCERITIES",0.239076515408243,0.556242580134547,0.303951367781155,6.55172413793103,0.321428571428571,1.70491803278689,0.333333333333333
"SCINGE",0.276404053561737,0.601083300356154,0.00159357470678225,9.04761904761905,0.714285714285714,0.918032786885246,0.444444444444444
"SCODE",0.283100078807426,0.578353779184804,0.000485887400453819,3.13186813186813,1.67857142857143,1.52459016393443,1
"GENIE3",0.293263732413801,0.611248516026909,0.00622471210706505,4.25373134328358,0.857142857142857,0.491803278688525,1.72222222222222
"GRNBOOST2",0.275448452593715,0.593638702018203,0.0482392667631452,8.38235294117647,0.964285714285714,0.754098360655738,1.38888888888889
"LEAP",0.312525901004862,0.631677878907796,0.0231964741359313,6.33333333333333,0.25,2.18032786885246,0.444444444444444
"PPCOR",0.311792588917147,0.595740997229917,1.26582278481013,7.03703703703704,NA,NA,NA
"PIDC",0.322473569393016,0.636723387415908,0.0874890638670166,3.01587301587302,NA,NA,NA
"SCTENIFOLDNET",0.296761150606013,0.648347843292442,0.564971751412429,63.3333333333333,0.535714285714286,0.377049180327869,1.66666666666667
"SCORPION",0.380413637718348,0.620894341115948,0.574712643678161,6.62790697674419,1.35714285714286,0.622950819672131,2.11111111111111
